"Codigo","Nombre","Modelo","Descripcion","Pcosto","Pventa","PMayor","Pordes","Porpro","Grupo","Familia","Marca","Feuling","Feulve","Observaciones","Status","Exiact","Id","Propietario","Minimo","Idereg","Costor","Invini","Proveedor","Ultmov","Bodega","Nombod","Ventas","Compras","Apos","Aneg"
DMP352,"12597 FLORERO RUBI 28 CM","","",14.36,28.0,0.0,0.0,0.0,DECORACION  MODERNA PROVEEDORES ,DECORACION ,FEDERAL,2012-12-14 00:00:00.000,,"",A,8.0,2619,ANGELA LARREA,0.0,1,14.36,0.0,IMPORTADORA FEDERAL S.A.,2012-12-14 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
DMP353,"12599 FLORERO SIENNA 30 CM","","",15.99,30.0,0.0,0.0,0.0,DECORACION  MODERNA PROVEEDORES ,DECORACION ,FEDERAL,2012-12-14 00:00:00.000,,"",A,12.0,2621,ANGELA LARREA,0.0,1,15.99,0.0,IMPORTADORA FEDERAL S.A.,2012-12-14 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
DMP354,"12600 FLORERO SIENNA 29 CM","","",17.24,35.0,0.0,0.0,0.0,DECORACION  MODERNA PROVEEDORES ,DECORACION ,FEDERAL,2012-12-14 00:00:00.000,,"",A,6.0,2623,ANGELA LARREA,0.0,1,17.24,0.0,IMPORTADORA FEDERAL S.A.,2012-12-14 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
DMP355,"12551 CABALLO 23*19 CM","","",14.78,25.0,0.0,0.0,0.0,DECORACION  MODERNA PROVEEDORES ,DECORACION ,FEDERAL,2012-12-14 00:00:00.000,,"",A,1.0,2625,ANGELA LARREA,0.0,1,14.78,0.0,IMPORTADORA FEDERAL S.A.,2012-12-14 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
ES100,ESQUINEROS DE MADERA ,"","",0.0,260.0,0.0,3.0,0.0,ESQUINEROS,MUEBLES PARA SALONES ,"",,2012-04-21 00:00:00.000,"",A,2.0,515,ANGELA LARREA,0.0,1,,4.0,LIA,2012-04-21 00:00:00.000,1,D ROSIE,2.0,0.0,0.0,0.0
ESC101,ESCRITORIO A20 BLANCO CON ROSADO,"","",248.0,480.0,0.0,1.0,0.0,ESCRITORIOS,MUEBLES DE OFICINA  ,BIENSTAR,2012-05-22 00:00:00.000,2011-11-04 00:00:00.000,"",A,0.0,594,ANGELA LARREA,0.0,1,248.0,1.0,BINESTAR,2012-05-22 00:00:00.000,1,D ROSIE,3.0,2.0,0.0,0.0
ESC102,COLCHON 3P CONTINENTAL DE LUJO,"","",230.47,380.0,0.0,3.0,0.0,COLCHONES,MUEBLES DE OFICINA  ,CHAIDE Y CHAIDE,2012-12-02 00:00:00.000,2012-12-18 00:00:00.000,"",A,4.0,596,ANGELA LARREA,0.0,1,225.89,3.0,BINESTAR,2012-12-18 00:00:00.000,1,D ROSIE,2.0,1.0,0.0,0.0
ESC103,ESCRITORIO A20 BLANCO CON NEGRO ,"","",271.25,480.0,0.0,2.0,0.0,ESCRITORIOS,MUEBLES DE OFICINA  ,BIENSTAR,2012-11-07 00:00:00.000,2012-12-13 00:00:00.000,"",A,2.0,734,ANGELA LARREA,0.0,1,326.0,1.0,BINESTAR,2012-12-13 00:00:00.000,1,D ROSIE,4.0,6.0,0.0,0.0
LI100,LIBREROS 4 PUERTAS CON PUERTAS,"","",140.0,280.0,0.0,0.0,0.0,LIBREROS ,MUEBLES DE OFICINA  ,"",,2012-03-21 00:00:00.000,"",A,0.0,828,ROSA MERA,0.0,1,,1.0,ANITA DELGADO,2012-03-21 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
LI101,LIBRERO 4 PUERTAS SIN PUERTAS,"","",160.0,230.0,0.0,0.0,0.0,LIBREROS ,MUEBLES DE OFICINA  ,"",,2011-09-10 00:00:00.000,"",A,0.0,1071,ROSA MERA,0.0,1,,1.0,ANITA DELGADO,2011-09-10 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
LI102,ESTANTERIA JUVENIL MILI,"","",150.0,250.0,0.0,1.0,0.0,LIBREROS ,MUEBLES DE OFICINA  ,"",,2012-07-21 00:00:00.000,"",A,0.0,1380,ANGELA LARREA,0.0,1,224.0,0.0,LUIS NARVAEZ,2012-07-21 00:00:00.000,1,D ROSIE,0.0,1.0,0.0,0.0
LT100,LITERA SHERATON DOBLE,"","",830.0,1480.0,0.0,0.0,0.0,LITERAS,HABITACIONES NI�OS ,"",2012-01-13 00:00:00.000,2012-03-03 00:00:00.000,"",A,0.0,872,ANGELA LARREA,0.0,1,830.0,0.0,LUIS NARVAEZ,2012-03-03 00:00:00.000,1,D ROSIE,2.0,2.0,0.0,0.0
LT101,LITERA CONQUISTADOR,"","",875.0,1380.0,0.0,0.0,0.0,LITERAS,HABITACIONES NI�OS ,"",2012-12-07 00:00:00.000,2012-11-27 00:00:00.000,"",A,1.0,1965,ANGELA LARREA,0.0,1,875.0,0.0,MUEBLES CONQUISTADOR,2012-12-07 00:00:00.000,1,D ROSIE,0.0,2.0,0.0,0.0
LT102,LITERA CUMBAL,"","",840.0,1380.0,0.0,0.0,0.0,LITERAS,HABITACIONES NI�OS ,"",2012-08-21 00:00:00.000,2012-10-18 00:00:00.000,"",A,0.0,2413,ANGELA LARREA,0.0,1,840.0,0.0,VICENTE CUMBAL,2012-10-18 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
MC100,MECEDORA IBARRA ,"","",100.0,250.0,0.0,1.0,0.0,MECEDORA,MUEBLES PARA SALONES ,"",,2012-05-15 00:00:00.000,"",A,0.0,859,ROSA MERA,0.0,1,,1.0,MAESTRO IBARRA,2012-05-15 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
