"Fechfa","Costo","Venta","Total","mes","aaaa","Descu","Contro","Codart","Nommarca"
2010-01-07 00:00:00.000,182.0,382.0,236.84,1,2010,145.16,APE,APE-029,
2010-01-07 00:00:00.000,37.36,76.4,47.368,1,2010,29.032000000000004,APE,APE-034,
2010-01-07 00:00:00.000,37.38,76.4,47.368,1,2010,29.032000000000004,APE,APE-035,
2010-01-07 00:00:00.000,50.400000000000006,96.0,64.32,1,2010,31.68,CNC,CNC-002,
2010-01-07 00:00:00.000,16.48,29.8,19.966,1,2010,9.834000000000001,CNC,CNC-010,
2010-01-07 00:00:00.000,21.9,43.0,23.65,1,2010,19.35,JHI,JHI-001,
2010-01-07 00:00:00.000,62.72,135.2,83.82399999999998,1,2010,51.376,APE,APE-023,
2010-01-07 00:00:00.000,43.92,79.05000000000001,49.01100000000001,1,2010,30.039000000000005,SKT,SKT-461,
2010-01-07 00:00:00.000,71.85,121.41,66.7755,1,2010,54.6345,KI-,KI-032,
2010-01-07 00:00:00.000,7.8,17.68,10.9616,1,2010,6.7184,JCB,JCBI-001,
2010-01-07 00:00:00.000,65.69999999999999,129.0,70.94999999999999,1,2010,58.050000000000004,JHI,JHI-014,
2010-01-07 00:00:00.000,61.900000000000006,115.5,71.61,1,2010,43.89,BH-,BH-001,
2010-01-07 00:00:00.000,42.35,76.34,51.147800000000004,1,2010,25.192200000000003,PFI,PFI-011,
2010-01-07 00:00:00.000,98.0,148.9,81.895,1,2010,67.00500000000001,HY-,HY-185,
2010-01-07 00:00:00.000,14.28,25.68,17.205599999999997,1,2010,8.474400000000001,FTU,FTU-031,
2010-01-07 00:00:00.000,16.56,33.0,20.46,1,2010,12.540000000000001,APE,APE-004,
2010-01-07 00:00:00.000,146.86,249.64,137.302,1,2010,112.338,HY-,HY-213,
2010-01-07 00:00:00.000,37.04,62.96,34.628,1,2010,28.332,HY-,HY-287,
2010-01-07 00:00:00.000,73.98,125.76,69.168,1,2010,56.592000000000006,HY-,HY-285,
2010-01-07 00:00:00.000,73.98,125.76,69.168,1,2010,56.592000000000006,HY-,HY-284,
2010-01-07 00:00:00.000,65.8,111.89999999999999,61.544999999999995,1,2010,50.355,HY-,HY-201,
2010-01-07 00:00:00.000,31.6,51.4,28.27,1,2010,23.13,HY-,HY-122,
2010-01-07 00:00:00.000,72.8,118.94999999999999,65.42249999999999,1,2010,53.527499999999996,HY-,HY-038,
2010-01-07 00:00:00.000,27.549999999999997,35.0,21.7,1,2010,13.3,TRI,TRIC-012,
2010-01-07 00:00:00.000,40.11,77.94,48.3228,1,2010,29.6172,SKT,SKT-248,
2010-01-07 00:00:00.000,33.150000000000006,64.5,35.474999999999994,1,2010,29.025000000000002,JHI,JHI-007,
